dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.682500,0.000198,0.019815,0.990728,49.536403,0.000000
0.020000,0.000000,0.682500,0.000198,0.000000,-0.990728,-99.072806,0.000000
0.020000,0.000000,0.682500,0.000198,0.000000,0.000000,49.536403,0.000000
0.020000,0.000000,0.682500,0.000198,0.000000,0.000000,0.000000,0.000000
0.020000,0.003124,0.682500,0.003322,0.156199,7.809925,390.496258,0.000000
0.020000,0.007087,0.682500,0.007285,0.198146,2.097355,-285.628488,0.000000
0.020000,0.011842,0.682500,0.012041,0.237775,1.981456,-5.794964,0.000000
0.020000,0.017390,0.682500,0.017589,0.277404,1.981456,0.000000,0.000000
0.020000,0.023731,0.682500,0.023929,0.317033,1.981456,-0.000000,0.000000
0.020000,0.030864,0.682500,0.031063,0.356662,1.981456,0.000000,0.000000
0.020000,0.038790,0.682500,0.038988,0.396291,1.981456,-0.000000,0.000000
0.020000,0.047509,0.682500,0.047707,0.435920,1.981456,0.000000,0.000000
0.020000,0.057020,0.682500,0.057218,0.475549,1.981456,-0.000000,0.000000
0.020000,0.067323,0.682500,0.067521,0.515179,1.981456,0.000000,0.000000
0.020000,0.078419,0.682500,0.078617,0.554808,1.981456,-0.000000,0.000000
0.020000,0.090308,0.682500,0.090506,0.594437,1.981456,0.000000,0.000000
0.020000,0.102989,0.682500,0.103188,0.634066,1.981456,0.000000,0.000000
0.020000,0.116463,0.682500,0.116661,0.673695,1.981456,-0.000000,0.000000
0.020000,0.130730,0.682500,0.130928,0.713324,1.981456,0.000000,0.000000
0.020000,0.145789,0.682500,0.145987,0.752953,1.981456,-0.000000,0.000000
0.020000,0.161640,0.682500,0.161839,0.792582,1.981456,0.000000,0.000000
0.020000,0.178285,0.682500,0.178483,0.832212,1.981456,-0.000000,0.000000
0.020000,0.195722,0.682500,0.195920,0.871841,1.981456,0.000000,0.000000
0.020000,0.213951,0.682500,0.214149,0.911470,1.981456,-0.000000,0.000000
0.020000,0.232973,0.682500,0.233171,0.951099,1.981456,0.000000,0.000000
0.020000,0.252787,0.682500,0.252986,0.990728,1.981456,-0.000000,0.000000
0.020000,0.273395,0.682500,0.273593,1.030357,1.981456,0.000000,0.000000
0.020000,0.294794,0.682500,0.294992,1.069986,1.981456,-0.000000,0.000000
0.020000,0.316987,0.682500,0.317185,1.109615,1.981456,0.000000,0.000000
0.020000,0.339972,0.682500,0.340170,1.149245,1.981456,-0.000000,0.000000
0.020000,0.363749,0.682500,0.363947,1.188874,1.981456,-0.000000,0.000000
0.020000,0.388319,0.682500,0.388517,1.228503,1.981456,0.000000,0.000000
0.020000,0.413682,0.682500,0.413880,1.268132,1.981456,0.000000,0.000000
0.020000,0.439837,0.682500,0.440035,1.307761,1.981456,-0.000000,0.000000
0.020000,0.466785,0.682500,0.466983,1.347390,1.981456,0.000000,0.000000
0.020000,0.494525,0.682500,0.494723,1.387019,1.981456,0.000000,0.000000
0.020000,0.523058,0.682500,0.523256,1.426648,1.981456,-0.000000,0.000000
0.020000,0.552384,0.682500,0.552582,1.466278,1.981456,0.000000,0.000000
0.020000,0.582502,0.682500,0.582700,1.505907,1.981456,-0.000000,0.000000
0.020000,0.613412,0.682500,0.613611,1.545536,1.981456,0.000000,0.000000
0.020000,0.645116,0.682500,0.645314,1.585165,1.981456,0.000000,0.000000
0.020000,0.677612,0.682500,0.677810,1.624794,1.981456,-0.000000,0.000000
0.020000,0.710900,0.682500,0.711098,1.664423,1.981456,-0.000000,0.000000
0.020000,0.744981,0.682500,0.745179,1.704052,1.981456,0.000000,0.000000
0.020000,0.779855,0.682500,0.780053,1.743681,1.981456,-0.000000,0.000000
0.020000,0.815521,0.682500,0.815719,1.783311,1.981456,-0.000000,0.000000
0.020000,0.851980,0.682500,0.852178,1.822940,1.981456,0.000000,0.000000
0.020000,0.889231,0.682500,0.889429,1.862569,1.981456,-0.000000,0.000000
0.020000,0.927275,0.682500,0.927473,1.902198,1.981456,0.000000,0.000000
0.020000,0.966112,0.682500,0.966310,1.941827,1.981456,0.000000,0.000000
0.020000,1.005741,0.682500,1.005939,1.981456,1.981456,-0.000000,0.000000
0.020000,1.046162,0.682500,1.046361,2.021085,1.981456,0.000000,0.000000
0.020000,1.087377,0.682500,1.087575,2.060714,1.981456,-0.000000,0.000000
0.020000,1.129384,0.682500,1.129582,2.100343,1.981456,0.000000,0.000000
0.020000,1.172183,0.682500,1.172381,2.139973,1.981456,0.000000,0.000000
0.020000,1.215775,0.682500,1.215973,2.179602,1.981456,0.000000,0.000000
0.020000,1.260160,0.682500,1.260358,2.219231,1.981456,-0.000000,0.000000
0.020000,1.305337,0.682500,1.305535,2.258860,1.981456,0.000000,0.000000
0.020000,1.351307,0.682500,1.351505,2.298489,1.981456,-0.000000,0.000000
0.020000,1.398069,0.682500,1.398267,2.338118,1.981456,0.000000,0.000000
0.020000,1.445624,0.682500,1.445822,2.377747,1.981456,-0.000000,0.000000
0.020000,1.493972,0.682500,1.494170,2.417376,1.981456,0.000000,0.000000
0.020000,1.543112,0.682500,1.543310,2.457006,1.981456,0.000000,0.000000
0.020000,1.593044,0.682500,1.593243,2.496635,1.981456,-0.000000,0.000000
0.020000,1.643770,0.682500,1.643968,2.536264,1.981456,0.000000,0.000000
0.020000,1.695287,0.682500,1.695486,2.575893,1.981456,0.000000,0.000000
0.020000,1.747598,0.682500,1.747796,2.615522,1.981456,-0.000000,0.000000
0.020000,1.800701,0.682500,1.800899,2.655151,1.981456,0.000000,0.000000
0.020000,1.854597,0.682500,1.854795,2.694780,1.981456,-0.000000,0.000000
0.020000,1.909285,0.682500,1.909483,2.734409,1.981456,0.000000,0.000000
0.020000,1.964766,0.682500,1.964964,2.774039,1.981456,-0.000000,0.000000
0.020000,2.021039,0.682500,2.021237,2.813668,1.981456,-0.000000,0.000000
0.020000,2.078105,0.682500,2.078303,2.853297,1.981456,0.000000,0.000000
0.020000,2.135963,0.682500,2.136161,2.892926,1.981456,0.000000,0.000000
0.020000,2.194614,0.682500,2.194813,2.932555,1.981456,-0.000000,0.000000
0.020000,2.254058,0.682500,2.254256,2.972184,1.981456,-0.000000,0.000000
0.020000,2.314294,0.682500,2.314493,3.011813,1.981456,0.000000,0.000000
0.020000,2.375323,0.682500,2.375521,3.051442,1.981456,0.000000,0.000000
0.020000,2.437145,0.682500,2.437343,3.091072,1.981456,-0.000000,0.000000
0.020000,2.499547,0.682500,2.499746,3.120141,1.453489,-26.398366,0.000000
0.020000,2.561924,0.682500,2.562122,3.118837,-0.065207,-75.934769,0.000000
0.020000,2.623693,0.682500,2.623892,3.088463,-1.518695,-72.674440,0.000000
0.020000,2.684670,0.682500,2.684868,3.048834,-1.981456,-23.138037,0.000000
0.020000,2.744854,0.682500,2.745052,3.009205,-1.981456,0.000000,0.000000
0.020000,2.804246,0.682500,2.804444,2.969576,-1.981456,0.000000,0.000000
0.020000,2.862845,0.682500,2.863043,2.929947,-1.981456,-0.000000,0.000000
0.020000,2.920651,0.682500,2.920849,2.890318,-1.981456,0.000000,0.000000
0.020000,2.977665,0.682500,2.977863,2.850689,-1.981456,-0.000000,0.000000
0.020000,3.033886,0.682500,3.034084,2.811059,-1.981456,0.000000,0.000000
0.020000,3.089315,0.682500,3.089513,2.771430,-1.981456,0.000000,0.000000
0.020000,3.143951,0.682500,3.144149,2.731801,-1.981456,0.000000,0.000000
0.020000,3.197794,0.682500,3.197992,2.692172,-1.981456,0.000000,0.000000
0.020000,3.250845,0.682500,3.251043,2.652543,-1.981456,-0.000000,0.000000
0.020000,3.303103,0.682500,3.303301,2.612914,-1.981456,0.000000,0.000000
0.020000,3.354569,0.682500,3.354767,2.573285,-1.981456,0.000000,0.000000
0.020000,3.405242,0.682500,3.405440,2.533656,-1.981456,-0.000000,0.000000
0.020000,3.455123,0.682500,3.455321,2.494026,-1.981456,0.000000,0.000000
0.020000,3.504211,0.682500,3.504409,2.454397,-1.981456,0.000000,0.000000
0.020000,3.552506,0.682500,3.552704,2.414768,-1.981456,-0.000000,0.000000
0.020000,3.600009,0.682500,3.600207,2.375139,-1.981456,-0.000000,0.000000
0.020000,3.646719,0.682500,3.646917,2.335510,-1.981456,0.000000,0.000000
0.020000,3.692636,0.682500,3.692835,2.295881,-1.981456,-0.000000,0.000000
0.020000,3.737762,0.682500,3.737960,2.256252,-1.981456,-0.000000,0.000000
0.020000,3.782094,0.682500,3.782292,2.216623,-1.981456,0.000000,0.000000
0.020000,3.825634,0.682500,3.825832,2.176993,-1.981456,-0.000000,0.000000
0.020000,3.868381,0.682500,3.868579,2.137364,-1.981456,0.000000,0.000000
