dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000307,0.317500,0.000200,0.019964,0.998218,49.910921,6.282219
0.020000,0.000265,0.317500,0.000241,0.002076,-0.894425,-94.632156,6.282350
0.020000,0.000182,0.317500,0.000324,0.004153,0.103875,49.915001,6.282611
0.020000,0.000058,0.317500,0.000449,0.006234,0.104039,0.008165,6.283004
0.020000,0.001981,0.317500,0.002373,0.096181,4.497358,219.665970,0.000343
0.020000,0.005765,0.317503,0.006156,0.189192,4.650551,7.659654,0.000999
0.020000,0.010306,0.317509,0.010698,0.227067,1.893708,-137.842134,0.001789
0.020000,0.015603,0.317521,0.015995,0.264851,1.889229,-0.223967,0.002712
0.020000,0.021656,0.317541,0.022047,0.302627,1.888818,-0.020568,0.003770
0.020000,0.028463,0.317570,0.028855,0.340378,1.887519,-0.064935,0.004964
0.020000,0.036026,0.317613,0.036418,0.378158,1.889016,0.074869,0.006297
0.020000,0.044343,0.317672,0.044735,0.415858,1.884998,-0.200939,0.007768
0.020000,0.053414,0.317749,0.053806,0.453545,1.884333,-0.033230,0.009381
0.020000,0.063237,0.317850,0.063630,0.491175,1.881491,-0.142123,0.011136
0.020000,0.073813,0.317978,0.074206,0.528840,1.883255,0.088205,0.013037
0.020000,0.085140,0.318137,0.085535,0.566412,1.878640,-0.230750,0.015086
0.020000,0.097217,0.318333,0.097613,0.603942,1.876462,-0.108869,0.017284
0.020000,0.110045,0.318569,0.110443,0.641486,1.877192,0.036511,0.019636
0.020000,0.123620,0.318853,0.124022,0.678919,1.871652,-0.277034,0.022143
0.020000,0.137943,0.319189,0.138348,0.716311,1.869630,-0.101107,0.024809
0.020000,0.153010,0.319585,0.153421,0.753658,1.867340,-0.114488,0.027638
0.020000,0.168823,0.320045,0.169240,0.790976,1.865910,-0.071516,0.030633
0.020000,0.185379,0.320579,0.185804,0.828193,1.860837,-0.253646,0.033797
0.020000,0.202675,0.321192,0.203111,0.865347,1.857691,-0.157300,0.037136
0.020000,0.220710,0.321894,0.221160,0.902440,1.854648,-0.152156,0.040654
0.020000,0.239483,0.322693,0.239950,0.939491,1.852565,-0.104107,0.044355
0.020000,0.258989,0.323596,0.259477,0.976380,1.844435,-0.406504,0.048244
0.020000,0.279229,0.324615,0.279743,1.013278,1.844896,0.023054,0.052327
0.020000,0.300199,0.325758,0.300744,1.050033,1.837749,-0.357390,0.056609
0.020000,0.321895,0.327036,0.322477,1.086694,1.833063,-0.234266,0.061096
0.020000,0.344315,0.328461,0.344943,1.123252,1.827921,-0.257136,0.065795
0.020000,0.367455,0.330042,0.368137,1.159721,1.823441,-0.223980,0.070713
0.020000,0.391313,0.331794,0.392059,1.196087,1.818297,-0.257199,0.075856
0.020000,0.415883,0.333727,0.416705,1.232298,1.810530,-0.388331,0.081232
0.020000,0.441161,0.335856,0.442072,1.268389,1.804550,-0.299038,0.086849
0.020000,0.467143,0.338195,0.468160,1.304370,1.799072,-0.273878,0.092715
0.020000,0.493825,0.340758,0.494964,1.340213,1.792145,-0.346357,0.098840
0.020000,0.521199,0.343561,0.522482,1.375888,1.783745,-0.420009,0.105233
0.020000,0.549261,0.346619,0.550709,1.411370,1.774109,-0.481779,0.111903
0.020000,0.578004,0.349950,0.579645,1.446778,1.770402,-0.185343,0.118861
0.020000,0.607421,0.353571,0.609284,1.481938,1.757975,-0.621343,0.126119
0.020000,0.637504,0.357501,0.639622,1.516929,1.749572,-0.420171,0.133687
0.020000,0.668245,0.361759,0.670657,1.551724,1.739735,-0.491833,0.141578
0.020000,0.699635,0.366364,0.702383,1.586321,1.729873,-0.493135,0.149805
0.020000,0.731665,0.371339,0.734797,1.620722,1.720029,-0.492177,0.158381
0.020000,0.764325,0.376704,0.767895,1.654877,1.707746,-0.614172,0.167321
0.020000,0.797603,0.382484,0.801671,1.688794,1.695844,-0.595102,0.176639
0.020000,0.831487,0.388702,0.836120,1.722468,1.683715,-0.606410,0.186350
0.020000,0.865963,0.395382,0.871237,1.755862,1.669706,-0.700490,0.196472
0.020000,0.901018,0.402551,0.907019,1.789063,1.660037,-0.483446,0.207021
0.020000,0.936637,0.410236,0.943457,1.821903,1.641998,-0.901919,0.218015
0.020000,0.972802,0.418464,0.980546,1.854481,1.628926,-0.653617,0.229471
0.020000,1.009496,0.427266,1.018282,1.886758,1.613861,-0.753234,0.241410
0.020000,1.046700,0.436671,1.056656,1.918697,1.596910,-0.847561,0.253850
0.020000,1.084394,0.446710,1.095663,1.950387,1.584520,-0.619489,0.266812
0.020000,1.122554,0.457417,1.135297,1.981683,1.564802,-0.985922,0.280317
0.020000,1.161157,0.468824,1.175550,2.012661,1.548899,-0.795122,0.294385
0.020000,1.200177,0.480966,1.216416,2.043288,1.531331,-0.878395,0.309037
0.020000,1.239588,0.493880,1.257889,2.073634,1.517292,-0.701995,0.324296
0.020000,1.279359,0.507600,1.299960,2.103579,1.497289,-1.000144,0.340182
0.020000,1.319460,0.522166,1.342624,2.133214,1.481731,-0.777893,0.356717
0.020000,1.359857,0.537616,1.385875,2.162517,1.465159,-0.828567,0.373920
