dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000307,-0.317500,0.000200,0.019964,0.998218,49.910921,6.282219
0.020000,-0.000265,-0.317500,0.000241,0.002076,-0.894425,-94.632156,6.282350
0.020000,-0.000182,-0.317500,0.000324,0.004153,0.103875,49.915001,6.282611
0.020000,-0.000058,-0.317500,0.000449,0.006234,0.104039,0.008165,6.283004
0.020000,0.002199,-0.317500,0.002705,0.112826,5.329613,261.278735,0.000343
0.020000,0.006400,-0.317497,0.006906,0.210027,4.860023,-23.479526,0.000999
0.020000,0.011442,-0.317490,0.011949,0.252129,2.105108,-137.745736,0.001789
0.020000,0.017325,-0.317477,0.017832,0.294163,2.101706,-0.170088,0.002712
0.020000,0.024050,-0.317455,0.024556,0.336225,2.103093,0.069312,0.003770
0.020000,0.031616,-0.317422,0.032122,0.378300,2.103770,0.033884,0.004964
0.020000,0.040025,-0.317374,0.040531,0.420457,2.107840,0.203474,0.006297
0.020000,0.049276,-0.317309,0.049783,0.462579,2.106067,-0.088658,0.007768
0.020000,0.059371,-0.317223,0.059878,0.504745,2.108318,0.112584,0.009381
0.020000,0.070308,-0.317111,0.070816,0.546914,2.108451,0.006620,0.011136
0.020000,0.082091,-0.316968,0.082600,0.589194,2.114027,0.278826,0.013037
0.020000,0.094719,-0.316791,0.095229,0.631451,2.112823,-0.060209,0.015086
0.020000,0.108192,-0.316573,0.108704,0.673744,2.114665,0.092128,0.017284
0.020000,0.122513,-0.316308,0.123027,0.716146,2.120101,0.271753,0.019636
0.020000,0.137680,-0.315991,0.138197,0.758524,2.118896,-0.060252,0.022143
0.020000,0.153695,-0.315615,0.154217,0.800964,2.121988,0.154604,0.024809
0.020000,0.170558,-0.315173,0.171086,0.843467,2.125169,0.159073,0.027638
0.020000,0.188272,-0.314657,0.188807,0.886062,2.129719,0.227482,0.030633
0.020000,0.206836,-0.314059,0.207381,0.928674,2.130609,0.044508,0.033797
0.020000,0.226251,-0.313370,0.226808,0.971356,2.134093,0.174207,0.037136
0.020000,0.246518,-0.312581,0.247090,1.014119,2.138152,0.202946,0.040654
0.020000,0.267639,-0.311683,0.268230,1.056994,2.143775,0.281133,0.044355
0.020000,0.289612,-0.310665,0.290227,1.099856,2.143092,-0.034152,0.048244
0.020000,0.312441,-0.309516,0.313085,1.142908,2.152607,0.475759,0.052327
0.020000,0.336126,-0.308225,0.336805,1.185990,2.154101,0.074733,0.056609
0.020000,0.360667,-0.306779,0.361389,1.229169,2.158944,0.242155,0.061096
0.020000,0.386065,-0.305166,0.386838,1.272447,2.163875,0.246545,0.065795
0.020000,0.412320,-0.303371,0.413155,1.315851,2.170194,0.315944,0.070713
0.020000,0.439435,-0.301380,0.440342,1.359379,2.176431,0.311846,0.075856
0.020000,0.467408,-0.299179,0.468402,1.402987,2.180384,0.197650,0.081232
0.020000,0.496241,-0.296750,0.497336,1.446729,2.187096,0.335594,0.086849
0.020000,0.525933,-0.294077,0.527149,1.490632,2.195157,0.403034,0.092715
0.020000,0.556486,-0.291142,0.557843,1.534679,2.202375,0.360899,0.098840
0.020000,0.587899,-0.287926,0.589420,1.578854,2.208749,0.318697,0.105233
0.020000,0.620171,-0.284409,0.621883,1.623146,2.214577,0.291406,0.111903
0.020000,0.653303,-0.280569,0.655237,1.667709,2.228154,0.678848,0.118861
0.020000,0.687294,-0.276385,0.689484,1.712362,2.232660,0.225300,0.126119
0.020000,0.722142,-0.271833,0.724628,1.757218,2.242798,0.506905,0.133687
0.020000,0.757847,-0.266888,0.760674,1.802265,2.252325,0.476373,0.141578
0.020000,0.794406,-0.261524,0.797624,1.847523,2.262906,0.529031,0.149805
0.020000,0.831818,-0.255714,0.835485,1.893015,2.274635,0.586463,0.158381
0.020000,0.870079,-0.249428,0.874259,1.938709,2.284669,0.501702,0.167321
0.020000,0.909186,-0.242635,0.913951,1.984635,2.296321,0.582595,0.176639
0.020000,0.949135,-0.235305,0.954568,2.030813,2.308910,0.629446,0.186350
0.020000,0.989921,-0.227402,0.996112,2.077223,2.320493,0.579137,0.196472
0.020000,1.031540,-0.218890,1.038592,2.123992,2.338444,0.897552,0.207021
0.020000,1.073982,-0.209733,1.082011,2.170946,2.347685,0.462068,0.218015
0.020000,1.117241,-0.199890,1.126375,2.218226,2.363997,0.815577,0.229471
0.020000,1.161307,-0.189320,1.171692,2.265807,2.379084,0.754339,0.241410
0.020000,1.206169,-0.177979,1.217965,2.313667,2.392967,0.694190,0.253850
0.020000,1.251816,-0.165821,1.265204,2.361934,2.413336,1.018442,0.266812
0.020000,1.298233,-0.152798,1.313413,2.410447,2.425693,0.617852,0.280317
0.020000,1.345403,-0.138859,1.362599,2.459314,2.443323,0.881470,0.294385
0.020000,1.393307,-0.123952,1.412769,2.508501,2.459369,0.802323,0.309037
0.020000,1.441925,-0.108021,1.463931,2.558100,2.479934,1.028237,0.324296
0.020000,1.491233,-0.091010,1.516090,2.607960,2.492990,0.652815,0.340182
0.020000,1.541202,-0.072860,1.569254,2.658179,2.510940,0.897497,0.356717
0.020000,1.591802,-0.053507,1.623428,2.708710,2.526569,0.781458,0.373920
